## https://arxiv.org/pdf/nucl-ex/0307022.pdf
## mass end_of_datas


BEGIN
p	938	14
0.65     	  2.90e+00  	  9.3e-02  
0.75     	  2.65e+00  	  8.5e-02  
0.85     	  2.28e+00  	  7.3e-02  
0.95     	  2.00e+00  	  6.6e-02  
1.05     	  1.68e+00  	  5.7e-02  
1.15     	  1.46e+00  	  5.1e-02  
1.25     	  1.16e+00  	  4.2e-02  
1.35     	  9.72e-01  	  3.7e-02  
1.45     	  7.42e-01  	  2.9e-02  
1.55     	  6.05e-01  	  2.5e-02  
1.65     	  4.55e-01  	  2.0e-02  
1.75     	  3.51e-01  	  1.6e-02  
1.85     	  2.85e-01  	  1.4e-02  
1.95     	  1.99e-01  	  1.1e-02  
2.10     	  1.35e-01  	  5.0e-03  
2.30     	  7.69e-02  	  3.5e-03  
2.50     	  4.39e-02  	  2.5e-03  
2.70     	  2.44e-02  	  1.8e-03  
2.90     	  1.54e-02  	  1.4e-03  
3.25     	  5.98e-03  	  5.5e-04  
3.75     	  2.05e-03  	  3.1e-04  
4.25     	  8.96e-04  	  2.2e-04  



BEGIN
pbar	938	14
0.65     	  2.00e+00  	  6.8e-02  
0.75     	  1.89e+00  	  6.2e-02  
0.85     	  1.67e+00  	  5.4e-02  
0.95     	  1.47e+00  	  4.8e-02  
1.05     	  1.21e+00  	  4.1e-02  
1.15     	  1.10e+00  	  3.9e-02  
1.25     	  8.90e-01  	  3.3e-02  
1.35     	  7.24e-01  	  2.8e-02  
1.45     	  6.12e-01  	  2.5e-02  
1.55     	  4.43e-01  	  1.9e-02  
1.65     	  3.46e-01  	  1.6e-02  
1.75     	  2.70e-01  	  1.3e-02  
1.85     	  2.07e-01  	  1.1e-02  
1.95     	  1.53e-01  	  9.2e-03  
2.10     	  9.75e-02  	  4.2e-03  
2.30     	  5.99e-02  	  3.1e-03  
2.50     	  3.16e-02  	  2.2e-03  
2.70     	  1.79e-02  	  1.6e-03  
2.90     	  1.04e-02  	  1.2e-03  
3.25     	  4.14e-03  	  4.7e-04  
3.75     	  1.29e-03  	  2.5e-04  
4.25     	  5.44e-04  	  1.7e-04  



BEGIN
Kp	493.667	16
